step,dx,dz,volume_ul,liquid_class,timer_delta,source,step_index,destination,group_number,timer_group_check,guid,from_path,asp_mixing,dispense_type,tip_type,touchoff_dis,to_plate,to_well,from_plate,from_well
2A_001 (ctrl),0,0,111.6,RoboNAAT_tip300_buffer_JetEmpty,0,water,0,0,1,0,1,some path,0,Jet_Empty,300,-1,ivl_96_dw_v1_0001,57,ivl_96_dw_v1_0001,1
2A_002,0,0,79.6,RoboNAAT_tip300_buffer_JetEmpty,0,water,0,0,1,0,1,some path,0,Jet_Empty,300,-1,ivl_96_dw_v1_0001,58,ivl_96_dw_v1_0001,2
2A_003,0,0,47.6,RoboNAAT_tip300_buffer_JetEmpty,0,water,0,0,1,0,1,some path,0,Jet_Empty,300,-1,ivl_96_dw_v1_0001,59,ivl_96_dw_v1_0001,3
2A_004,0,0,79.6,RoboNAAT_tip300_buffer_JetEmpty,0,water,0,0,1,0,1,some path,0,Jet_Empty,300,-1,ivl_96_dw_v1_0001,60,ivl_96_dw_v1_0001,1
2A_005,0,0,47.6,RoboNAAT_tip300_buffer_JetEmpty,0,water,0,0,1,0,1,some path,0,Jet_Empty,300,-1,ivl_96_dw_v1_0001,61,ivl_96_dw_v1_0001,2
2A_006,0,0,79.6,RoboNAAT_tip300_buffer_JetEmpty,0,water,0,0,1,0,1,some path,0,Jet_Empty,300,-1,ivl_96_dw_v1_0001,62,ivl_96_dw_v1_0001,3
2A_007,0,0,47.6,RoboNAAT_tip300_buffer_JetEmpty,0,water,0,0,1,0,1,some path,0,Jet_Empty,300,-1,ivl_96_dw_v1_0001,63,ivl_96_dw_v1_0001,1
2A_008,0,0,47.6,RoboNAAT_tip300_buffer_JetEmpty,0,water,0,0,1,0,1,some path,0,Jet_Empty,300,-1,ivl_96_dw_v1_0001,64,ivl_96_dw_v1_0001,2
2A_009,0,0,47.6,RoboNAAT_tip300_buffer_JetEmpty,0,water,0,0,1,0,1,some path,0,Jet_Empty,300,-1,ivl_96_dw_v1_0001,73,ivl_96_dw_v1_0001,3
2A_010,0,0,31.6,RoboNAAT_tip300_buffer_JetEmpty,0,water,0,0,1,0,1,some path,0,Jet_Empty,300,-1,ivl_96_dw_v1_0001,74,ivl_96_dw_v1_0001,1
2A_011,0,0,47.6,RoboNAAT_tip300_buffer_JetEmpty,0,water,0,0,1,0,1,some path,0,Jet_Empty,300,-1,ivl_96_dw_v1_0001,75,ivl_96_dw_v1_0001,2
2A_012,0,0,15.6,RoboNAAT_tip300_buffer_JetEmpty,0,water,0,0,1,0,1,some path,0,Jet_Empty,300,-1,ivl_96_dw_v1_0001,76,ivl_96_dw_v1_0001,3
2A_013 (ctrl),0,0,113.6,RoboNAAT_tip300_buffer_JetEmpty,0,water,0,0,1,0,1,some path,0,Jet_Empty,300,-1,ivl_96_dw_v1_0001,77,ivl_96_dw_v1_0001,1
2A_014,0,0,81.6,RoboNAAT_tip300_buffer_JetEmpty,0,water,0,0,1,0,1,some path,0,Jet_Empty,300,-1,ivl_96_dw_v1_0001,78,ivl_96_dw_v1_0001,2
2A_015,0,0,49.6,RoboNAAT_tip300_buffer_JetEmpty,0,water,0,0,1,0,1,some path,0,Jet_Empty,300,-1,ivl_96_dw_v1_0001,79,ivl_96_dw_v1_0001,3
2A_016,0,0,81.6,RoboNAAT_tip300_buffer_JetEmpty,0,water,0,0,1,0,1,some path,0,Jet_Empty,300,-1,ivl_96_dw_v1_0001,80,ivl_96_dw_v1_0001,1
2A_017,0,0,49.6,RoboNAAT_tip300_buffer_JetEmpty,0,water,0,0,1,0,1,some path,0,Jet_Empty,300,-1,ivl_96_dw_v1_0001,89,ivl_96_dw_v1_0001,2
2A_018,0,0,81.6,RoboNAAT_tip300_buffer_JetEmpty,0,water,0,0,1,0,1,some path,0,Jet_Empty,300,-1,ivl_96_dw_v1_0001,90,ivl_96_dw_v1_0001,3
2A_019,0,0,49.6,RoboNAAT_tip300_buffer_JetEmpty,0,water,0,0,1,0,1,some path,0,Jet_Empty,300,-1,ivl_96_dw_v1_0001,91,ivl_96_dw_v1_0001,1
2A_020,0,0,49.6,RoboNAAT_tip300_buffer_JetEmpty,0,water,0,0,1,0,1,some path,0,Jet_Empty,300,-1,ivl_96_dw_v1_0001,92,ivl_96_dw_v1_0001,2
2A_021,0,0,49.6,RoboNAAT_tip300_buffer_JetEmpty,0,water,0,0,1,0,1,some path,0,Jet_Empty,300,-1,ivl_96_dw_v1_0001,93,ivl_96_dw_v1_0001,3
2A_022,0,0,33.6,RoboNAAT_tip300_buffer_JetEmpty,0,water,0,0,1,0,1,some path,0,Jet_Empty,300,-1,ivl_96_dw_v1_0001,94,ivl_96_dw_v1_0001,1
2A_023,0,0,49.6,RoboNAAT_tip300_buffer_JetEmpty,0,water,0,0,1,0,1,some path,0,Jet_Empty,300,-1,ivl_96_dw_v1_0001,95,ivl_96_dw_v1_0001,2
2A_024,0,0,17.6,RoboNAAT_tip300_buffer_JetEmpty,0,water,0,0,1,0,1,some path,0,Jet_Empty,300,-1,ivl_96_dw_v1_0001,96,ivl_96_dw_v1_0001,3
2A_001 (ctrl),0,0,40,RoboNAAT_tip300_buffer_SurfaceEmpty,0,BST 2.0 buffer,0,0,2,0,1,some path,0,Surface_Empty,300,-1,ivl_96_dw_v1_0001,57,ivl_96_dw_v1_0001,9
2A_002,0,0,40,RoboNAAT_tip300_buffer_SurfaceEmpty,0,BST 2.0 buffer,0,0,2,0,1,some path,0,Surface_Empty,300,-1,ivl_96_dw_v1_0001,58,ivl_96_dw_v1_0001,10
2A_003,0,0,40,RoboNAAT_tip300_buffer_SurfaceEmpty,0,BST 2.0 buffer,0,0,2,0,1,some path,0,Surface_Empty,300,-1,ivl_96_dw_v1_0001,59,ivl_96_dw_v1_0001,11
2A_004,0,0,40,RoboNAAT_tip300_buffer_SurfaceEmpty,0,BST 2.0 buffer,0,0,2,0,1,some path,0,Surface_Empty,300,-1,ivl_96_dw_v1_0001,60,ivl_96_dw_v1_0001,9
2A_005,0,0,40,RoboNAAT_tip300_buffer_SurfaceEmpty,0,BST 2.0 buffer,0,0,2,0,1,some path,0,Surface_Empty,300,-1,ivl_96_dw_v1_0001,61,ivl_96_dw_v1_0001,10
2A_006,0,0,40,RoboNAAT_tip300_buffer_SurfaceEmpty,0,BST 2.0 buffer,0,0,2,0,1,some path,0,Surface_Empty,300,-1,ivl_96_dw_v1_0001,62,ivl_96_dw_v1_0001,11
2A_007,0,0,40,RoboNAAT_tip300_buffer_SurfaceEmpty,0,BST 2.0 buffer,0,0,2,0,1,some path,0,Surface_Empty,300,-1,ivl_96_dw_v1_0001,63,ivl_96_dw_v1_0001,9
2A_008,0,0,40,RoboNAAT_tip300_buffer_SurfaceEmpty,0,BST 2.0 buffer,0,0,2,0,1,some path,0,Surface_Empty,300,-1,ivl_96_dw_v1_0001,64,ivl_96_dw_v1_0001,10
2A_009,0,0,40,RoboNAAT_tip300_buffer_SurfaceEmpty,0,BST 2.0 buffer,0,0,2,0,1,some path,0,Surface_Empty,300,-1,ivl_96_dw_v1_0001,73,ivl_96_dw_v1_0001,11
2A_010,0,0,40,RoboNAAT_tip300_buffer_SurfaceEmpty,0,BST 2.0 buffer,0,0,2,0,1,some path,0,Surface_Empty,300,-1,ivl_96_dw_v1_0001,74,ivl_96_dw_v1_0001,9
2A_011,0,0,40,RoboNAAT_tip300_buffer_SurfaceEmpty,0,BST 2.0 buffer,0,0,2,0,1,some path,0,Surface_Empty,300,-1,ivl_96_dw_v1_0001,75,ivl_96_dw_v1_0001,10
2A_012,0,0,40,RoboNAAT_tip300_buffer_SurfaceEmpty,0,BST 2.0 buffer,0,0,2,0,1,some path,0,Surface_Empty,300,-1,ivl_96_dw_v1_0001,76,ivl_96_dw_v1_0001,11
2A_013 (ctrl),0,0,40,RoboNAAT_tip300_buffer_SurfaceEmpty,0,BST 2.0 buffer,0,0,2,0,1,some path,0,Surface_Empty,300,-1,ivl_96_dw_v1_0001,77,ivl_96_dw_v1_0001,9
2A_014,0,0,40,RoboNAAT_tip300_buffer_SurfaceEmpty,0,BST 2.0 buffer,0,0,2,0,1,some path,0,Surface_Empty,300,-1,ivl_96_dw_v1_0001,78,ivl_96_dw_v1_0001,10
2A_015,0,0,40,RoboNAAT_tip300_buffer_SurfaceEmpty,0,BST 2.0 buffer,0,0,2,0,1,some path,0,Surface_Empty,300,-1,ivl_96_dw_v1_0001,79,ivl_96_dw_v1_0001,11
2A_016,0,0,40,RoboNAAT_tip300_buffer_SurfaceEmpty,0,BST 2.0 buffer,0,0,2,0,1,some path,0,Surface_Empty,300,-1,ivl_96_dw_v1_0001,80,ivl_96_dw_v1_0001,9
