step,dx,dz,volume_ul,liquid_class,timer_delta,source,step_index,destination,group_number,timer_group_check,guid,from_path,asp_mixing,dispense_type,tip_type,touchoff_dis,to_plate,to_well,from_plate,from_well
template,0,0,5,RoboNAAT_tip50_template_SurfaceEmpty,0,NTC,0,0,1,0,1,some path,0,Surface_Empty,50,-1,ivl_96_flat_v1_0001,1,ivl_96_flat_v1_0003,1
template,0,0,5,RoboNAAT_tip50_template_SurfaceEmpty,0,NTC,0,0,1,0,1,some path,0,Surface_Empty,50,-1,ivl_96_flat_v1_0001,2,ivl_96_flat_v1_0003,2
template,0,0,5,RoboNAAT_tip50_template_SurfaceEmpty,0,NTC,0,0,1,0,1,some path,0,Surface_Empty,50,-1,ivl_96_flat_v1_0001,3,ivl_96_flat_v1_0003,3
template,0,0,5,RoboNAAT_tip50_template_SurfaceEmpty,0,NTC,0,0,1,0,1,some path,0,Surface_Empty,50,-1,ivl_96_flat_v1_0001,4,ivl_96_flat_v1_0003,4
template,0,0,5,RoboNAAT_tip50_template_SurfaceEmpty,0,NTC,0,0,1,0,1,some path,0,Surface_Empty,50,-1,ivl_96_flat_v1_0001,5,ivl_96_flat_v1_0003,5
template,0,0,5,RoboNAAT_tip50_template_SurfaceEmpty,0,NTC,0,0,1,0,1,some path,0,Surface_Empty,50,-1,ivl_96_flat_v1_0001,6,ivl_96_flat_v1_0003,6
template,0,0,5,RoboNAAT_tip50_template_SurfaceEmpty,0,NTC,0,0,1,0,1,some path,0,Surface_Empty,50,-1,ivl_96_flat_v1_0001,7,ivl_96_flat_v1_0003,7
template,0,0,5,RoboNAAT_tip50_template_SurfaceEmpty,0,NTC,0,0,1,0,1,some path,0,Surface_Empty,50,-1,ivl_96_flat_v1_0001,8,ivl_96_flat_v1_0003,8
template,0,0,5,RoboNAAT_tip50_template_SurfaceEmpty,0,NTC,0,0,1,0,1,some path,0,Surface_Empty,50,-1,ivl_96_flat_v1_0001,9,ivl_96_flat_v1_0003,1
template,0,0,5,RoboNAAT_tip50_template_SurfaceEmpty,0,NTC,0,0,1,0,1,some path,0,Surface_Empty,50,-1,ivl_96_flat_v1_0001,10,ivl_96_flat_v1_0003,2
