step,dx,dz,volume_ul,liquid_class,timer_delta,source,step_index,destination,group_number,timer_group_check,guid,from_path,asp_mixing,dispense_type,tip_type,touchoff_dis,to_plate,to_well,from_plate,from_well
2B_001,0,0,111.6,RoboNAAT_tip300_buffer_JetEmpty,0,water,0,0,1,0,1,some path,0,Jet_Empty,300,-1,ivl_96_dw_v1_0001,65,ivl_96_dw_v1_0001,1
2B_002,0,0,79.6,RoboNAAT_tip300_buffer_JetEmpty,0,water,0,0,1,0,1,some path,0,Jet_Empty,300,-1,ivl_96_dw_v1_0001,66,ivl_96_dw_v1_0001,2
2B_003,0,0,31.6,RoboNAAT_tip300_buffer_JetEmpty,0,water,0,0,1,0,1,some path,0,Jet_Empty,300,-1,ivl_96_dw_v1_0001,67,ivl_96_dw_v1_0001,3
2B_004,0,0,79.6,RoboNAAT_tip300_buffer_JetEmpty,0,water,0,0,1,0,1,some path,0,Jet_Empty,300,-1,ivl_96_dw_v1_0001,68,ivl_96_dw_v1_0001,4
2B_005,0,0,31.6,RoboNAAT_tip300_buffer_JetEmpty,0,water,0,0,1,0,1,some path,0,Jet_Empty,300,-1,ivl_96_dw_v1_0001,69,ivl_96_dw_v1_0001,1
2B_006,0,0,79.6,RoboNAAT_tip300_buffer_JetEmpty,0,water,0,0,1,0,1,some path,0,Jet_Empty,300,-1,ivl_96_dw_v1_0001,70,ivl_96_dw_v1_0001,2
2B_007,0,0,31.6,RoboNAAT_tip300_buffer_JetEmpty,0,water,0,0,1,0,1,some path,0,Jet_Empty,300,-1,ivl_96_dw_v1_0001,71,ivl_96_dw_v1_0001,3
2B_008,0,0,79.6,RoboNAAT_tip300_buffer_JetEmpty,0,water,0,0,1,0,1,some path,0,Jet_Empty,300,-1,ivl_96_dw_v1_0001,72,ivl_96_dw_v1_0001,4
2B_009,0,0,31.6,RoboNAAT_tip300_buffer_JetEmpty,0,water,0,0,1,0,1,some path,0,Jet_Empty,300,-1,ivl_96_dw_v1_0001,73,ivl_96_dw_v1_0001,1
2B_010,0,0,58.3,RoboNAAT_tip300_buffer_JetEmpty,0,water,0,0,1,0,1,some path,0,Jet_Empty,300,-1,ivl_96_dw_v1_0001,74,ivl_96_dw_v1_0001,2
2B_011,0,0,5.6,RoboNAAT_tip300_buffer_JetEmpty,0,water,0,0,1,0,1,some path,0,Jet_Empty,300,-1,ivl_96_dw_v1_0001,75,ivl_96_dw_v1_0001,3
2B_012,0,0,58.3,RoboNAAT_tip300_buffer_JetEmpty,0,water,0,0,1,0,1,some path,0,Jet_Empty,300,-1,ivl_96_dw_v1_0001,76,ivl_96_dw_v1_0001,4
2B_013,0,0,5.6,RoboNAAT_tip300_buffer_JetEmpty,0,water,0,0,1,0,1,some path,0,Jet_Empty,300,-1,ivl_96_dw_v1_0001,77,ivl_96_dw_v1_0001,1
2B_014,0,0,58.3,RoboNAAT_tip300_buffer_JetEmpty,0,water,0,0,1,0,1,some path,0,Jet_Empty,300,-1,ivl_96_dw_v1_0001,78,ivl_96_dw_v1_0001,2
2B_015,0,0,5.6,RoboNAAT_tip300_buffer_JetEmpty,0,water,0,0,1,0,1,some path,0,Jet_Empty,300,-1,ivl_96_dw_v1_0001,79,ivl_96_dw_v1_0001,3
2B_016,0,0,111.6,RoboNAAT_tip300_buffer_JetEmpty,0,water,0,0,1,0,1,some path,0,Jet_Empty,300,-1,ivl_96_dw_v1_0001,80,ivl_96_dw_v1_0001,4
2B_017,0,0,113.6,RoboNAAT_tip300_buffer_JetEmpty,0,water,0,0,1,0,1,some path,0,Jet_Empty,300,-1,ivl_96_dw_v1_0001,81,ivl_96_dw_v1_0001,1
2B_018,0,0,81.6,RoboNAAT_tip300_buffer_JetEmpty,0,water,0,0,1,0,1,some path,0,Jet_Empty,300,-1,ivl_96_dw_v1_0001,82,ivl_96_dw_v1_0001,2
2B_019,0,0,33.6,RoboNAAT_tip300_buffer_JetEmpty,0,water,0,0,1,0,1,some path,0,Jet_Empty,300,-1,ivl_96_dw_v1_0001,83,ivl_96_dw_v1_0001,3
2B_020,0,0,81.6,RoboNAAT_tip300_buffer_JetEmpty,0,water,0,0,1,0,1,some path,0,Jet_Empty,300,-1,ivl_96_dw_v1_0001,84,ivl_96_dw_v1_0001,4
2B_021,0,0,33.6,RoboNAAT_tip300_buffer_JetEmpty,0,water,0,0,1,0,1,some path,0,Jet_Empty,300,-1,ivl_96_dw_v1_0001,85,ivl_96_dw_v1_0001,1
2B_022,0,0,81.6,RoboNAAT_tip300_buffer_JetEmpty,0,water,0,0,1,0,1,some path,0,Jet_Empty,300,-1,ivl_96_dw_v1_0001,86,ivl_96_dw_v1_0001,2
2B_023,0,0,33.6,RoboNAAT_tip300_buffer_JetEmpty,0,water,0,0,1,0,1,some path,0,Jet_Empty,300,-1,ivl_96_dw_v1_0001,87,ivl_96_dw_v1_0001,3
2B_024,0,0,81.6,RoboNAAT_tip300_buffer_JetEmpty,0,water,0,0,1,0,1,some path,0,Jet_Empty,300,-1,ivl_96_dw_v1_0001,88,ivl_96_dw_v1_0001,4
2B_025,0,0,33.6,RoboNAAT_tip300_buffer_JetEmpty,0,water,0,0,1,0,1,some path,0,Jet_Empty,300,-1,ivl_96_dw_v1_0001,89,ivl_96_dw_v1_0001,1
2B_026,0,0,81.6,RoboNAAT_tip300_buffer_JetEmpty,0,water,0,0,1,0,1,some path,0,Jet_Empty,300,-1,ivl_96_dw_v1_0001,90,ivl_96_dw_v1_0001,2
