,F_max,C_half,k,F_b,DriftSlope,Fluorophore
A1,83.52445160178604,143.23401369889706,0.5180285577045949,5924.116937496893,25.79251099524424,FAM
A2,69.40518675354565,143.53364141465048,1.3644169174375356,5864.904467294276,28.099849460597415,FAM
A3,0.0400052942540583,143.52257509556776,1.315683452017367,6150.2119081236915,28.607526073828456,FAM
A4,16841.03873515124,83.04998676811886,1.8855639797559922,5520.493375008933,36.35658320217526,FAM
A5,19515.90390850064,58.326091977792565,3.3267174111659736,5819.995155181087,13.9984734246168,FAM
A6,17496.833836676346,72.45786578707562,1.9971867216379366,5534.344954868902,27.063074416787668,FAM
A7,17779.235139717573,47.37680454933883,2.0804818052664187,5456.059303244841,16.319643290706882,FAM
A8,17227.66138581669,45.703188210790245,1.8884513320385474,5303.1683215479225,8.23814408240816,FAM
A9,15249.462340447879,43.17639318094364,1.7491598308255192,4943.043197316221,9.015866685628234,FAM
A10,9465.341519226387,111.18149599500302,5.096509741384806,3896.769636174047,22.96553264557755,FAM
A11,17645.35261844215,63.904081867050294,5.737911746643895,4518.409621043615,16.4125687744133,FAM
A12,14394.62504430095,37.18216835404963,1.6040636052218826,4427.104290693494,24.539912445438606,FAM
B1,7770.532137852532,119.73283175092821,2.3872223335019767,4113.855486997889,20.330919865280475,FAM
B2,11608.918417081286,116.2461184385403,2.3198950954722632,4397.750303797694,24.017598837331825,FAM
B3,28.780250336218273,141.76021468393137,0.9073893298793351,4518.696269528387,23.82795402991047,FAM
B4,20183.802053644526,44.28697398900607,2.484423403279829,4964.3931687526565,13.602092527202878,FAM
B5,20120.68430508029,41.902466659937225,2.469708319864423,4918.139221408719,1.7939158850492265,FAM
B6,20901.42690253925,48.12944886290594,2.4960249713627327,5054.288534956511,24.015132963896665,FAM
B7,22262.06826360747,46.157439831604265,2.1614811026527105,5547.332953571616,-0.3025375567325453,FAM
B8,20446.219633574095,46.22475429799731,2.5855545632005654,4936.865226942472,26.57754733161456,FAM
B9,20423.56990864126,47.78916869912485,2.5655335173286895,5127.250319883099,14.619215677276953,FAM
B10,797.5136270523054,17.715694108108075,16.587762461988113,3441.736370481866,11.729054218357556,FAM
B11,19652.2545184362,62.72132150490186,8.28080631337933,4918.708808715997,8.460775194470594,FAM
B12,20832.274205237703,54.52216635488868,7.567782127106232,5015.189627672897,16.222986252212117,FAM
C1,13519.938380832162,102.21757368714101,2.5922766541754068,3810.2014224802097,13.621197801133954,FAM
C2,18523.128825562788,100.42349984649529,7.130298439095127,4171.233891145438,11.314861362062546,FAM
C3,459.3241002606052,49.150301243255754,13.361897271488175,4252.424897032051,12.580925912610473,FAM
C4,20117.77085045373,43.53582262869019,2.5767662009544012,4657.424812679491,4.668667817173531,FAM
C5,21412.346155734354,42.68427820757783,2.27113568575027,4799.299504300715,3.78206698610771,FAM
C6,22162.789497244336,42.65862642850692,2.557817717977358,4905.632309748236,1.13877196914004,FAM
C7,21842.374038742757,45.57972776647024,2.23772628841318,4936.817624239808,6.764907663894109,FAM
C8,21188.243442946095,46.783110780916246,2.4614917076069713,4859.397420651384,12.988634919545882,FAM
C9,22859.956966689024,54.078256270711265,2.65807806699214,5132.700607415669,8.006690807795296,FAM
C10,9693.229393382562,111.37856312658062,4.843541172134463,4772.555505104877,34.155454908923794,FAM
C11,22053.22663787093,46.243590218619495,4.252502130261977,5022.628743616834,15.834982381199296,FAM
C12,20412.148094141696,42.47675864624724,3.568525165511448,5012.095871868446,10.124049362197944,FAM
D1,240.25298646034742,43.91090209103698,11.431539525619938,4163.966074862768,9.511728106820442,FAM
D2,3084.647442563622,121.10650538803793,2.2388657927846034,4070.787349370846,14.263509499156717,FAM
D3,411.83685803138576,50.28391633547554,14.412190833211605,4157.137124172783,10.18753347341424,FAM
D4,19382.914977994176,48.490702888075425,2.7910274460398043,4388.589287381309,11.597877422483439,FAM
D5,20739.531278271326,56.55588248779001,2.3536442623625295,4666.230615451973,-0.28763457332688863,FAM
D6,20039.68068997241,51.84400241104064,2.850435789240129,4476.450252800503,9.555036469089682,FAM
D7,17133.095003855018,49.07950799254469,2.9528097989430964,3920.6626066217354,23.047646539681065,FAM
D8,21077.66929662481,57.316774046591085,2.718379066306092,4760.378204849763,6.097052674039516,FAM
D9,19420.243712339838,61.711907358818685,2.8304965040270607,4116.081446099566,21.58981548778907,FAM
D10,329.45410886242007,18.707771112839787,7.599461392777203,3451.0961262675196,13.926483930476454,FAM
D11,17525.398266698427,60.74829823415771,6.53109845292728,4532.35605978433,32.143835245320595,FAM
D12,15660.478604916269,51.793239644175664,6.006832039054169,4298.783809187199,28.260912435269073,FAM
E1,26.074751398962235,143.99577256012893,0.5257266189232769,4460.905938035246,23.817134022481586,FAM
E2,2857.81680732181,116.90448651673555,1.8977712147258883,4432.5910711468205,27.19856499685527,FAM
E3,34342.26319249415,123.88964071968313,0.7924507635157217,4813.11135395042,29.184406526137685,FAM
E4,22170.489381211333,45.342690283032574,2.136749821737932,5490.899116370788,-6.178955468544515,FAM
E5,23018.003818447738,42.4451087464814,2.3782189459576704,5622.525214558463,-2.5052761851772307,FAM
E6,20315.22270953715,47.5239024707704,3.903289531652196,4826.578706582859,15.92507038308195,FAM
E7,21091.190369565153,43.12099959431107,2.294945062604786,5260.39929057433,23.155722657711888,FAM
E8,22166.926942991136,41.71490619575863,2.769491391113036,5057.393161278533,17.330588271071754,FAM
E9,22731.473676472197,41.005242435376,2.718011102215259,5272.121741572727,8.276692512699803,FAM
