,F_max,C_half,k,F_b,DriftSlope,Fluorophore
A1,103.51561776028632,53.99968820186731,0.5005218393122213,2633.6799619219773,0.5286945168594481,FAM
A2,29.69434405670154,53.999931816945974,0.5076494888993158,2693.2837030954765,0.5609206508279504,FAM
A3,6.4405451062016255,53.999986989323304,0.5016404911206198,2726.3020855910727,0.4480490911786023,FAM
A4,0.021442894911160693,53.99995085571965,0.5004645227537228,2700.9761061081213,0.5214229284746554,FAM
A5,55.275537258120266,53.99985842490074,0.5022583089046525,2758.061155253936,0.5481213286672881,FAM
A6,4332.803337754326,50.259848683213214,0.738385734609044,2722.482336022141,0.4434251850666361,FAM
A7,3.8162384885445704,53.99812336361817,0.5020660175632565,2686.338105189576,0.4929672553909508,FAM
A8,4647.051574538188,49.47237426351867,0.5477133623396133,2719.1421485941564,0.5127547985584007,FAM
A9,6602.729621795002,27.93062525811762,76.9000834708844,0.003011658162341565,-20.965758882747906,FAM
A10,10.010617544104264,53.999882686159005,0.5009495928347248,2707.958001042277,0.4629267924803751,FAM
A11,44.51093233696611,53.99989468767723,0.5120132799997736,2667.9415415709464,0.45640210919989516,FAM
A12,1615.7699150440412,53.98199804711223,1.2715959976616806,2666.9954060779028,0.5655733478860444,FAM
A13,45.05301852328637,53.999881977685526,0.5017491193093743,2692.2865151592373,0.49448814363152516,FAM
A14,1883.384909980887,49.18168176176669,0.5000000000367175,2707.117153964414,0.5411105478400229,FAM
A15,44.067720722432455,53.999894916024665,0.5151074306480559,2691.892018866481,0.6407880078039246,FAM
A16,63.90946053580535,53.99982126317781,0.5003117053297521,2671.8466914165165,0.6328909760243486,FAM
A17,51.095624739745176,53.99983661343281,0.5001501620850666,2659.0647147448144,0.5460719811448804,FAM
A18,11.652319528259246,7.767686184654178,3.591430670461917,2660.2663373057553,0.5152545465614516,FAM
A19,52.13243634185892,53.99986772700009,0.5019993633406449,2674.1652500597384,0.7088982775476936,FAM
A20,58.05203604813141,53.99986818783999,0.5167359938317561,2703.4578568624597,0.5640527874313918,FAM
A21,5.826119440641605,53.99999208116289,0.5013235701307451,2692.167589099722,0.7825349699847706,FAM
A22,12.90526735983417,53.99999348404978,0.5037862875012502,2684.852413843257,0.6167209171159318,FAM
A23,2.6099453844442166,53.999995093650554,0.5005696389069423,2642.5866048929083,0.7791239512951311,FAM
A24,58.321931627457275,53.99986195403753,0.5165611696365149,2656.2427060099812,0.6573202888507566,FAM
B1,92.41914146880129,53.99967036722988,0.5000075323849454,2637.1920721167457,0.5852648243401821,FAM
B2,3178.2710541010997,49.59656094560003,0.5000000000000004,2711.173476333144,0.6447967577229309,FAM
B3,0.03997011515048143,53.999981843120736,0.5002039855173211,2664.8885081343947,0.709604573037566,FAM
B4,21.19117825094031,53.9999840197966,0.5050126241229991,2680.4131192455275,0.8951920097798282,FAM
B5,0.017728615120716995,53.999943832409,0.5002364163522873,2658.807933164788,0.6962091095678745,FAM
B6,71.027867641164,53.99978810133019,0.5002555555666283,2675.9789351683135,0.7635889412802893,FAM
B7,57.86279856447254,53.99986177263513,0.5017749545717464,2671.8281285750786,0.8136691736995817,FAM
B8,88.72049713838692,53.99976832215542,0.5022244089857559,2676.1838183494406,0.7256388459555164,FAM
B9,132.75867353094705,53.99975724939025,0.5163818412506284,2662.392622177224,0.7346235179277886,FAM
B10,5913.915930137572,49.281439061542656,0.5000000000000001,2673.9380184237416,0.6598524025183924,FAM
B11,3.858461261378011,53.992363880461184,0.5003904448492175,2639.0309890665667,0.5741570727168799,FAM
B12,0.05376023037305799,53.99939772083853,0.500312181337582,2640.8950837891803,0.7266986049956772,FAM
B13,11183.108341469262,49.51195719310688,0.500000000083333,2659.0766655063067,0.7018321243639689,FAM
B14,18.22652586996736,53.999984737167075,0.5027511948435766,2703.251895896539,0.7044208725955754,FAM
B15,18.77823804245213,53.9999999973415,0.5095899199928696,2673.2419249576606,0.6990171121560963,FAM
B16,21138.737183649337,53.99999999999999,0.5000000000000003,2682.8902147544854,0.7138243626169878,FAM
B17,38.55384093980376,53.999911598033975,0.5091177764292522,2671.564650257202,0.6526003915212583,FAM
B18,19.50785716887583,53.999955584166926,0.5008389524452215,2616.95742379398,0.7170782426383859,FAM
B19,20.0990740489126,53.999999997158,0.5091949950706446,2650.9955977769614,0.7823605300682722,FAM
B20,18.04807037490707,53.999987812376425,0.5047356464982888,2659.544552344878,0.6852542732808548,FAM
B21,45.872901548759614,53.99989533843866,0.5115796708945947,2658.4151746563043,0.7021849250537747,FAM
B22,58.45654339795328,53.9998416591906,0.5002930163867492,2684.1309899372077,0.6494542665348952,FAM
B23,0.4753232539463852,53.999999048670176,0.5001337435046557,2664.8224907802814,0.7029590925178018,FAM
B24,26.205513004046338,53.999999840710004,0.5070135668619954,2697.823336750442,0.604995998779419,FAM
C1,79.9194733362931,53.99977505134467,0.5008870205370224,2638.5097342614044,0.5229038350207169,FAM
C2,8.666336105480866,53.9999878550807,0.5017576951039142,2688.502843868399,0.6416738198763718,FAM
C3,40.53134854212988,53.99990354344555,0.5010006256232867,2711.6148424142925,0.6507893539339434,FAM
C4,51.494411726102385,53.99987557535458,0.503504206815841,2703.0773553193844,0.7013352545736636,FAM
C5,45.49625702626554,53.99988862962184,0.5026044561182098,2696.7895360659495,0.6516257752566992,FAM
C6,88.52898902526431,53.99969192777939,0.5001112724540636,2708.654177468728,0.7012498855246367,FAM
C7,0.17392005087549478,53.999919072102784,0.5003191589268072,2676.367829907245,0.6981094019773425,FAM
C8,0.048987473072998,53.999999869180236,0.5000129636113779,2690.5321040284493,0.721544147229868,FAM
C9,0.6679609512511888,53.9999025216184,0.500247069845972,2705.1372893260113,0.609955144519319,FAM
C10,0.06453149488891086,53.999545633625274,0.5001826929905772,2725.2862017464076,0.6038981995669677,FAM
C11,1.1085365374592584,53.99999158966549,0.5003298048518459,2698.735165791629,0.6975097690739999,FAM
C12,0.2095770110639279,53.99965969387577,0.5003618279085112,2690.5758642509995,0.7519621340558614,FAM
C13,5371.615226545133,6.815042283574449e-07,98.80194140692772,0.07211932821324435,-12.717890926108257,FAM
C14,2280.415533879572,49.35541158435975,0.5000000093083141,2698.208834843153,0.7736369351843255,FAM
C15,38.60947557645625,53.99991663817826,0.5107016013579301,2712.7687964078405,0.7619329610969983,FAM
C16,186.36711961630704,53.9995248765562,0.5052103438349347,2706.0450878756265,0.662001403488492,FAM
C17,56.85181150530025,53.99987084210194,0.5166416012329467,2713.8108604616705,0.7382210031390775,FAM
C18,56.04986974332621,53.99986580671689,0.5002771071303185,2667.3733981285063,0.8514672188300537,FAM
C19,62.403084227849604,53.999848960377136,0.5007141347555193,2695.2437733480606,0.7608873514481227,FAM
C20,36.48586602556168,53.99991795633742,0.5097184809860462,2687.7754013446483,0.7564602343224951,FAM
C21,55.082286848949934,53.99986586016811,0.5018086452714396,2694.8272808148813,0.8131104509043559,FAM
C22,0.035092841717762724,53.9995919314184,0.500259018679294,2661.684930196142,0.8639682829121589,FAM
C23,80.44418981715307,53.999780008084144,0.5013542007223931,2667.8297993725528,0.7376970921167381,FAM
C24,93.44621885518893,53.99973578741262,0.5015804103050022,2695.1936676086257,0.6304989853999797,FAM
D1,2.8393724924020205,53.99990645814027,0.500926511032966,2648.6413781876004,0.7734881382060063,FAM
D2,5.879816887355105,53.99992321375176,0.5016167633432971,2676.1906849923257,0.70850011516815,FAM
D3,3267.966401994946,49.56662644080831,0.5000000125316475,2669.1062053966,0.674580191316753,FAM
D4,2.474800457179441,53.9999814674626,0.5007377512649827,2675.7373491221583,0.6889442340087243,FAM
D5,44.65334289724069,53.999890940758576,0.5015129299941581,2657.2047609518563,0.7245002395291397,FAM
D6,76.93638966833339,53.99982695082809,0.5186913692237336,2662.7763755773894,0.7298526786263002,FAM
D7,75.79761148855948,53.99980019634008,0.5016349383913727,2666.259941158632,0.7732418417454853,FAM
D8,0.12604643464524656,53.99989258807863,0.5000710925534025,2661.7656571620973,0.7465527292189604,FAM
D9,8.007357798445128,53.99990713376372,0.5020707193620988,2663.878425496829,0.682980131037502,FAM
D10,26.753597707265612,53.99993910893382,0.5023396198432196,2660.38538724032,0.7025731938096961,FAM
D11,13.981966933295382,53.99998371343602,0.5028712119229077,2661.7671304186997,0.7900080220666911,FAM
D12,13.215029607817542,53.99999999338068,0.5019531275533289,2662.81732478346,0.7142991168160995,FAM
D13,1.8290410947308828,53.999979929405264,0.5006238466591029,2681.19825547757,0.7806558596646926,FAM
D14,38.88252577103185,53.99990906878084,0.5094282708004284,2664.8401332310764,0.7926687137947624,FAM
D15,200.32598848090993,53.99921127121267,0.5000057440321598,2681.001897032624,0.7595738085632491,FAM
D16,1.6565065761415951,53.99999636759565,0.5004362931972645,2691.45965039881,0.736603817061184,FAM
D17,33.554415389250266,53.99992829699517,0.5094693217059424,2688.0812332935393,0.867969871040969,FAM
D18,35.13145429869178,53.99992217009386,0.5098266432623818,2670.4694654017103,0.7565626324587744,FAM
D19,80.38626179203425,53.999791721277106,0.5025693807894743,2685.542227338039,0.7885936230774838,FAM
D20,9.559633975052577,53.99999995590652,0.5022204854496927,2669.081840724996,0.7899693187746558,FAM
D21,82.09061350290051,53.99978074537425,0.5006302188446357,2664.0808419579002,0.729977456507753,FAM
D22,0.004406264074830801,53.99771749568007,0.5011784386824705,2674.3883882285404,0.7597463646823682,FAM
D23,15.902690049485955,53.9999787670603,0.5038379936020805,2659.8658231927916,0.8284162549390048,FAM
D24,4.331599833432733,53.99999276060942,0.5009179663631107,2710.5745198147574,0.7523475589294132,FAM
E1,56.94311873375125,53.999871996625295,0.5141912139023059,2664.496637619643,0.6491052659091862,FAM
E2,4.817211841770821,7.615008377128854,0.706751470914084,2691.897262319509,0.5603627972942892,FAM
E3,172.16208310235643,29.373304428012936,13.022332889678902,2701.8395125359316,-2.5668740153243,FAM
E4,40.66121081355914,53.99991117825813,0.5114153928541323,2706.883591652762,0.7277794572135061,FAM
