,F_0,F_1,F_2,F_max,deltaF,R2_score,C_half,dFdC_half,C_lift,C_slow,deltaC,Fluorophore
A1,2633.6799619219773,2683.7379634722533,2744.258060162872,2800.6336347602287,166.95367283825135,0.8829168114844572,53.99968820186731,26.40759895693103,53.34,54.66,1.3199999999999932,FAM
A2,2693.2837030954765,2729.459323197711,2747.3831845800437,2790.2829160450237,96.9992129495472,0.9386308531021481,53.999931816945974,7.984506665003335,53.33,54.67,1.3400000000000034,FAM
A3,2726.3020855910727,2751.563468026039,2755.870605831784,2786.504041147795,60.20195555672217,0.8489499881615747,53.999986989323304,2.0581853677290085,53.34,54.66,1.3199999999999932,FAM
A4,2700.9761061081213,2728.7933303905565,2729.494001697002,2763.563086190706,62.58698008258489,0.8659248374262423,53.99995085571965,0.5267836522024456,53.34,54.66,1.3199999999999932,FAM
A5,2758.061155253936,2799.0083182797935,2831.5918352925764,2879.105770738844,121.04461548490826,0.9482111280348959,53.99985842490074,14.367005643197356,53.34,54.66,1.3199999999999932,FAM
A6,2722.482336022141,3662.4879612918417,6160.1496814493175,7108.492261732613,4386.009925710472,0.8850159140399416,50.259848683213214,1083.6442596236482,49.29,51.23,1.9399999999999977,FAM
A7,2686.338105189576,2713.443348946982,2716.294324877477,2749.3054846524806,62.96737946290477,0.8897584986596919,53.99812336361817,1.4470268775270934,53.34,54.66,1.3199999999999932,FAM
A8,2719.1421485941564,3724.6800685133967,6404.663671690834,7427.719171411367,4708.5770228172105,0.8917457617379092,49.47237426351867,1162.2756484331055,48.75,50.19,1.4399999999999977,FAM
A9,2555.3089492719796,2708.3340047366923,2555.3089492719796,2723.631160961052,168.32221168907245,0.9234074566228052,27.93062525811762,1629.7166465660025,0.0,119.99,119.99,FAM
A10,2707.958001042277,2734.7654984836913,2741.1579959278165,2773.5152044161014,65.55720337382445,0.8523741589283471,53.999882686159005,2.965581178506441,53.34,54.66,1.3199999999999932,FAM
A11,2667.9415415709464,2701.75171833983,2727.9367914400837,2767.216162990808,99.27462141986143,0.8907720203057952,53.99989468767723,11.584135193441423,53.33,54.67,1.3400000000000034,FAM
A12,2666.9954060779028,3038.5924073792544,3973.5045555331626,4350.62846713479,1683.6330610568875,0.9401203714254449,53.98199804711223,404.5080521088964,52.31,55.66,3.3499999999999943,FAM
A13,2692.2865151592373,2728.1968188783994,2754.8374851396256,2796.6731660368705,104.3866508776332,0.8999627155872396,53.999881977685526,11.757742774453117,53.34,54.66,1.3199999999999932,FAM
