,F_0,F_1,F_2,F_max,deltaF,R2_score,C_half,dFdC_half,C_lift,C_slow,deltaC,Fluorophore
A1,5924.116937496893,,,9018.96033181625,3094.843394319357,0.9921816501853195,143.23401369889706,46.67362389569075,,,,FAM
A2,5864.904467294276,9236.605406296929,5864.904467294276,9236.605406296929,3371.7009390026524,0.9940902437572678,143.53364141465048,45.451146148983824,119.99,0.0,-119.99,FAM
A3,6150.2119081236915,9582.828961723051,6150.2119081236915,9582.828961723051,3432.6170535993597,0.9917785608366284,143.52257509556776,28.61752739739197,119.99,0.0,-119.99,FAM
A4,5520.493375008933,12013.471556011282,21907.421831544758,26723.958476334887,21203.465101325954,0.998487523894122,83.04998676811886,4246.616266989985,80.57,85.53,4.960000000000008,FAM
A5,5819.995629495107,10694.435542232233,22092.24669804264,27015.575715992287,21195.58008649718,0.9977422007591896,58.326091977792565,4892.9744505497765,53.94,62.71,8.770000000000003,FAM
A6,5534.344954868905,11125.100701729623,21368.636597267036,26278.47709000846,20744.132135139553,0.9968879649685801,72.45786578707562,4401.271533585874,69.83,75.09,5.260000000000005,FAM
A7,5456.059305536468,9946.1832574967,20300.72213774079,25193.488441414323,19737.429135877857,0.9985938295068949,47.37680454933883,4461.1284282201,44.64,50.12,5.479999999999997,FAM
A8,5303.168322079647,9305.669690130951,19286.889909952166,23519.324615812766,18216.15629373312,0.9981541579421446,45.703188210790245,4315.153490536581,43.22,48.19,4.969999999999999,FAM
A9,4943.043197606688,8530.011782993384,17380.0102915706,21274.319381372632,16331.276183765944,0.9984553211774716,43.17639318094364,3821.381451797598,40.87,45.48,4.609999999999999,FAM
A10,3896.7696393502288,8296.362429228793,14068.20787247823,14690.372144961791,10793.602505611563,0.9992612187368319,111.18149599500302,2389.3009124521745,104.47,117.89,13.420000000000002,FAM
A11,4518.666550446088,9173.444382094665,19607.359198117418,24132.102811532855,19613.43626108677,0.9938271281377917,63.904081867050294,4427.750723384951,56.35,71.46,15.109999999999992,FAM
A12,4427.1042919273405,8330.133687343294,16736.99586738059,21766.273429322624,17339.169137395285,0.9998799370587358,37.18216835404963,3623.196173520676,35.07,39.29,4.219999999999999,FAM
B1,4113.855486997889,8126.908129547754,10647.700465192524,10647.700465192524,6533.844978194635,0.9981225265224266,119.73283175092821,1962.9639543284136,116.59,119.99,3.3999999999999915,FAM
B2,4397.750303797694,9568.793010921316,16417.611890917815,16960.767812349975,12563.017508552282,0.9991085639894157,116.2461184385403,2926.247203107653,113.19,119.3,6.109999999999999,FAM
B3,4518.696269528387,7377.8124735784395,4518.696269528387,7377.8124735784395,2859.116204050052,0.9891403657825903,141.76021468393137,31.023016613965037,119.99,0.0,-119.99,FAM
B4,4964.393534627076,9794.338279211863,21531.321628443446,26780.310304735078,21815.916770108,0.9973924073002951,44.28697398900607,5059.552605938335,41.02,47.56,6.539999999999999,FAM
B5,4918.140082714151,9239.522789237482,20861.06757561995,25254.07549353569,20335.935410821538,0.9984971712052783,41.902466659937225,5031.964992155122,38.65,45.15,6.5,FAM
B6,5054.288623248062,10544.924440488438,22778.313606684846,28837.291241827163,23783.0026185791,0.9968312813422241,48.12944886290594,5249.371858598709,44.84,51.42,6.579999999999998,FAM
B7,5540.846514782896,10237.282161249517,23083.14492493219,27787.958937288844,22247.112422505947,0.9981879014620114,46.157439831604265,5565.2145283451355,43.31,49.0,5.689999999999998,FAM
B8,4936.865578714274,10396.121905331276,22381.57010207664,28572.124764828677,23635.259186114403,0.9982521942481407,46.22475429799731,5138.132455725138,42.82,49.63,6.810000000000002,FAM
B9,5127.250485980617,10091.875520013693,21985.704943326033,27304.979917628578,22177.72943164796,0.9986529530687623,47.78916869912485,5120.511692837592,44.41,51.17,6.760000000000005,FAM
B10,3645.727620257715,3645.727620257715,4534.708277253318,5644.947660953398,1999.2200406956827,0.9998231881064307,17.715694108108075,211.10746098143392,0.0,39.56,39.56,FAM
B11,4928.794651741311,9511.798638884207,21042.187812280303,25566.69692394614,20637.90227220483,0.9975009360499294,62.72132150490186,4921.52440480352,51.82,73.63,21.809999999999995,FAM
B12,5030.661213729825,10142.429264645076,22491.941247715655,27790.415441469522,22759.754227739697,0.9947495097658994,54.52216635488868,5224.291537561638,44.56,64.49,19.929999999999993,FAM
C1,3810.2014224802097,8009.899581911624,15910.54985894359,18950.322996570256,15140.121574090046,0.9987735154785476,102.21757368714101,3393.6057930091742,98.8,105.63,6.829999999999998,FAM
C2,4171.2480519390165,9114.239404453449,20020.803244830975,22932.888641916576,18761.64058997756,0.9974072571701648,100.42349984649529,4642.097067752759,91.03,109.81,18.78,FAM
C3,4263.743118699294,4746.401122386737,5454.47433777427,6219.0565998475395,1955.313481148245,0.9985747999051456,49.150301243255754,127.41195097776176,31.55,66.75,35.2,FAM
C4,4657.425737262145,9093.179243539333,20743.80200627163,25335.389114513255,20677.963377251108,0.9951530991635695,43.53582262869019,5034.111380430606,40.14,46.93,6.789999999999999,FAM
C5,4799.299651677065,9469.206302491046,21866.879969492504,26665.4558776981,21866.156226021034,0.9968035376681118,42.68427820757783,5356.868605919696,39.69,45.68,5.990000000000002,FAM
C6,4905.633576153365,9633.79581805048,22441.384220969623,27205.06305556804,22299.429479414677,0.9985637773167236,42.65862642850692,5541.836146280224,39.29,46.03,6.740000000000002,FAM
C7,4936.817655375337,9836.592214075845,22496.99112243774,27590.91293357314,22654.095278197805,0.9988098623738028,45.57972776647024,5467.358417349584,42.63,48.53,5.899999999999999,FAM
C8,4859.39753865468,9900.474308167735,22212.851389385705,27606.14716759122,22746.74962893654,0.9984904184540369,46.783110780916246,5310.04949565607,43.54,50.02,6.480000000000004,FAM
C9,5132.700640789806,10371.883503306683,23624.47777917751,28953.380403743024,23820.679762953216,0.9986941345581861,54.078256270711265,5722.995932480051,50.58,57.58,7.0,FAM
C10,4772.555506104295,10407.35759514378,16440.41032344372,17162.845139057423,12390.289632953129,0.9956577598624933,111.37856312658062,2457.4628032545643,105.0,117.76,12.760000000000005,FAM
C11,5023.046336907633,10323.771646894147,23232.925119146206,28975.894268793647,23952.84793188601,0.9984125644089041,46.243590218619495,5529.141641848932,40.64,51.84,11.200000000000003,FAM
C12,5012.234039112063,9710.88382709599,21591.775078943152,26639.02864145678,21626.79460234472,0.9988292022445444,42.47675864624724,5113.161072897622,37.78,47.18,9.399999999999999,FAM
D1,4169.015354747762,4489.259829991193,4914.369093752837,5545.2224319936795,1376.2070772459174,0.9991423213744689,43.91090209103698,69.5749747219073,28.86,58.97,30.11,FAM
