,F_0,F_1,F_2,F_max,deltaF,R2_score,C_half,dFdC_half,C_lift,C_slow,deltaC
A1,5924.116934305184,9018.960334916706,5924.116934305184,9018.960334916706,3094.843400611522,0.9921816501847595,143.90083394953416,46.69321051386839,119.99,0.0,-119.99
A2,5864.904467534825,9236.605403938818,5864.904467534825,9236.605403938818,3371.700936403993,0.9940902437695106,143.80278213693305,43.58606092583179,119.99,0.0,-119.99
A3,6150.211908201025,9582.828961784278,6150.211908201025,9582.828961784278,3432.6170535832534,0.9917785608365999,140.28426055477547,28.639994487807634,119.99,0.0,-119.99
A4,5520.493371518502,12013.471541625822,21907.421845809524,26723.958475090112,21203.46510357161,0.9984875238941222,83.04998676873456,4246.616263495543,80.57,85.53,4.960000000000008
A5,5819.995688445092,10694.435579210596,22092.246659469103,27015.575653278116,21195.579964833025,0.9977422007591876,58.32609198140627,4892.974500385975,53.94,62.71,8.770000000000003
A6,5534.3449169673995,11125.100667182538,21368.63662014477,26278.477112704037,20744.132195736638,0.9968879649685782,72.45786579647455,4401.271512680588,69.83,75.09,5.260000000000005
A7,5456.059314884633,9946.183295122875,20300.72210031447,25193.48842470735,19737.42910982272,0.9985938295068948,47.37680455172147,4461.12843820022,44.64,50.12,5.479999999999997
A8,5303.168281353407,9305.66963259686,19286.889970306696,23519.32469461713,18216.156413263725,0.9981541579421449,45.70318819930591,4315.153449212122,43.22,48.19,4.969999999999999
A9,4943.043229496637,8530.011811618466,17380.010263101245,21274.31931649054,16331.276086993901,0.9984553211774707,43.176393191166085,3821.3814817870016,40.87,45.48,4.609999999999999
A10,3896.769639678071,8296.3624286082,14068.207872521694,14690.37214440588,10793.602504727809,0.999261218736832,111.18149598955158,2389.3009115880513,104.47,117.89,13.420000000000002
A11,4518.666554974537,9173.44437222801,19607.35928361594,24132.10277294932,19613.436217974784,0.9938271281377677,63.90408175823043,4427.750719084974,56.35,71.46,15.109999999999992
A12,4427.104290763539,8330.133691167723,16736.99586615105,21766.27343087781,17339.16914011427,0.9998799370587358,37.18216835271482,3623.196173059856,35.07,39.29,4.219999999999999
B1,4113.855484793309,8126.90814591446,10647.700421060012,10647.700421060012,6533.8449362667025,0.9981225265224298,119.73283098475316,1962.9636284236353,116.59,119.99,3.3999999999999915
B2,4397.750303688223,9568.79300460624,16417.61188059239,16960.767790655045,12563.017486966823,0.9991085639894163,116.24611838785637,2926.2471770483694,113.19,119.3,6.109999999999999
B3,4518.6962691905965,7377.812473979355,4518.6962691905965,7377.812473979355,2859.1162047887583,0.9891403657820856,143.7633467946429,241.78112064903146,119.99,0.0,-119.99
B4,4964.393485295829,9794.338238523362,21531.32168004499,26780.310405850327,21815.916920554497,0.9973924073002965,44.286973967483334,5059.5525520303545,41.02,47.56,6.539999999999999
B5,4918.140246911974,9239.522894929973,20861.067462585546,25254.075125118732,20335.934878206757,0.9984971712052794,41.90246673218295,5031.965174165507,38.65,45.15,6.5
B6,5054.288626312722,10544.924453386584,22778.31362993768,28837.291226884947,23783.002600572225,0.9968312813422233,48.129448849135414,5249.371865845225,44.84,51.42,6.579999999999998
B7,5540.846520625505,10237.282137824437,23083.144952649145,27787.958928191565,22247.11240756606,0.9981879014620114,46.15743982940597,5565.214521051782,43.31,49.0,5.689999999999998
B8,4936.865580034465,10396.121906509683,22381.57010123952,28572.124764325985,23635.25918429152,0.9982521942481407,46.22475429809882,5138.1324550498575,42.82,49.63,6.810000000000002
B9,5127.250474972113,10091.875531614794,21985.704931336004,27304.979939763853,22177.72946479174,0.9986529530687623,47.78916869742081,5120.511682079565,44.41,51.17,6.760000000000005
B10,3645.7276449896594,3645.7276449896594,4534.708281820459,5644.947666541232,1999.2200215515727,0.9998231881064304,17.715702319203583,211.10738678503736,0.0,39.56,39.56
B11,4928.794192390033,9511.798455350607,21042.188047730946,25566.69722540885,20637.903033018818,0.9975009360498985,62.72132145192754,4921.5236248946685,51.82,73.63,21.809999999999995
B12,5030.661362726976,10142.429349303016,22491.941115597227,27790.415231416093,22759.753868689117,0.994749509765839,54.52216650068165,5224.2918586630985,44.56,64.49,19.929999999999993
C1,3810.2014368283517,8009.899581665917,15910.549859020022,18950.322995258233,15140.12155842988,0.9987735154785476,102.21757367934055,3393.6057983753935,98.8,105.63,6.829999999999998
C2,4171.248035774822,9114.239380928093,20020.803261780984,22932.888597103713,18761.64056132889,0.9974072571701609,100.4234997601217,4642.097027171177,91.03,109.81,18.78
